frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
0,0,-4.5,0.0,2.2,0.0,0.3,0.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0000.png,True
1,0,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0001.png,True
2,0,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0002.png,True
3,0,-4.08,0.0,2.2,0.0,0.36,-0.12,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0003.png,True
4,0,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0004.png,True
5,0,-3.8,0.0,2.2,0.0,0.4,-0.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0005.png,True
6,0,-3.66,0.0,2.2,0.0,0.42,-0.24,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0006.png,True
7,0,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0007.png,True
8,0,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0008.png,True
9,0,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0009.png,True
10,1,-3.1,0.0,2.2,0.0,0.5,-0.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0010.png,True
11,1,-3.065,0.0,2.2,0.0,0.49,-0.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0011.png,True
12,1,-3.0300000000000002,0.0,2.2,0.0,0.48,-0.6000000000000001,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0012.png,True
13,1,-2.995,0.0,2.2,0.0,0.47,-0.7,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0013.png,True
14,1,-2.96,0.0,2.2,0.0,0.45999999999999996,-0.8,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0014.png,True
15,1,-2.925,0.0,2.2,0.0,0.45,-0.9,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0015.png,True
16,1,-2.89,0.0,2.2,0.0,0.44,-1.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0016.png,True
17,1,-2.855,0.0,2.2,0.0,0.43,-1.1,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0017.png,True
18,1,-2.82,0.0,2.2,0.0,0.42,-1.2000000000000002,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0018.png,True
19,1,-2.785,0.0,2.2,0.0,0.41,-1.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0019.png,True
20,1,-2.75,0.0,2.2,0.0,0.4,-1.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0020.png,True
21,1,-2.715,0.0,2.2,0.0,0.39,-1.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0021.png,True
22,1,-2.68,0.0,2.2,0.0,0.38,-1.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0022.png,True
23,1,-2.645,0.0,2.2,0.0,0.37,-1.7000000000000002,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0023.png,True
24,1,-2.61,0.0,2.2,0.0,0.36,-1.7999999999999998,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0024.png,True
25,1,-2.575,0.0,2.2,0.0,0.35,-1.9,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0025.png,True
26,1,-2.54,0.0,2.2,0.0,0.33999999999999997,-2.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0026.png,True
27,1,-2.505,0.0,2.2,0.0,0.32999999999999996,-2.1,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0027.png,True
28,1,-2.4699999999999998,0.0,2.2,0.0,0.31999999999999995,-2.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0028.png,True
29,1,-2.435,0.0,2.2,0.0,0.31,-2.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0029.png,True
